Course Code,Offering Unit/Department,Course Title,Course Description,Discipline Specific (Up to 5) - the dropdown list changes based on the Offering Unit/Department selection.,SMU Graduate Learning Outcomes,Grading Basis (e.g. Graded or Pass/Fail),Course Attributes,Requisites,Column2,Prerequisite_Codes,Corequisite_Codes,Antirequisite_Codes
COR2410,CIS,Italian for Business,"In today's globalised and interconnected world, being multilingual is an indispensable skill. The Italian diaspora is extensive and many Italian transnational companies (e.g., Luxottica, Gucci, Barilla, Ferrari, Ferrero, Menarini) are household names. You may find that speaking even basic Italian is the key to unlock many lucrative and valuable opportunities in your career.

Italian for Business is an advanced elementary language course, that builds on students' pre-existing basic knowledge of Italian. Students must possess a competent understanding of basic Italian grammar. The course is designed to intro-duce and assimilate students into the Italian-speaking business world.

Therefore, Italian for Business will introduce students to essential Italian business terminology and language used in professional settings. These diverse settings span from fashion to hospitality, from economics to business in trans-national companies.

The course will also examine cultural differences that are critical on the job such as work ethic, money and leisure too. Students will be able to confidently initiate and carry basic conversations in Italian during job interviews, or even effortlessly break the ice with their Italian colleagues.

Classes are highly interactive, and will incorporate the extensive use of discussions, role play, individual and group activities, writing, presentation, listening, and cross-cultural analysis. Additionally, local industry heavyweights with ties to Italian companies and prominent Italians business leaders, will share important life experiences and essential vocabulary with the class in a series of short guest appearances.",-,-,GRD - Graded,"AREA - Communities - Cultures of the Modern World, RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR2410,,,
COR2411,CIS,Japanese for Business,"This course aims to equip students with skills and strategies in daily business-related settings. The course will focus on listening to and accurately understanding others, conveying one's opinions correctly, and working together to solve problems using real-life scenarios. By the end of this module, students will attain good communication skills to present themselves.",-,-,GRD - Graded,"AREA - Communities - Cultures of the Modern World, RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR2411,,,
COR2412,CIS,Korean for Business,"This course provides students with Business Korean speaking, listening, reading and writing skills necessary to communicate in a business environment, such as during job interviews, interacting with colleagues, and making simple business calls. The students will learn the business knowledge required for the different business situations, and improve their job skills based on the basic Korean Communication skills.",-,-,GRD - Graded,"AREA - Communities - Cultures of the Modern World, RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR2412,,,
COR2414,CIS,Thai for Business,"Thailand and Singapore share many economic and cultural cross-border interactions with strong people to people ties. Business between the two countries has played an integral role contributing to the two countries' bilateral economic growth and cooperation as ASEAN members.

In any interaction (social or business), language is an important and effective tool to break the ice and build better relationships between individuals and organizations. The focus of the course is to strengthen the student's knowledge of basic Thai in the four language skills of speaking, listening, reading and writing with an emphasis on applying these skills in a business setting.

The course will provide students opportunities to learn, practice and sharpen their skills of oral presentation in both informal settings, such as social interactions (e.g., engaging in small talk) and also formal settings, such as giving a business presentation or participating in an interview.",-,-,GRD - Graded,"AREA - Communities - Cultures of the Modern World, RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR2414,,,
COR2415,CIS,Vietnamese,"This is an elementary language course designed for beginners who do not have an experience in the language, focusing on intensive oral communication practice, with the aim to develop basic oral expression, listening, comprehension and elementary reading and writing skills.

The course is conducted in Vietnamese, comprising a series of activities, which includes: individual and group presentations, discussions, role-play and other class activities.",-,-,GRD - Graded,"AREA - Communities - Cultures of the Modern World, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP",No,https://ccms.smu.edu.sg/courses?page=1&cq=COR2415,,,
COR2603,CIS,Singapore: Imagining The Next Fifty Years,"The course content is jointly developed by professors from the six local universities and will be delivered using a blended learning approach.

Singapore is both a city and a country contained in a small geographical space located in Southeast Asia.  It houses a diverse population in terms of race, language, religion, class and nationality.  It possesses no natural resources, but has a highly educated labour force.  Its economy has experienced significant growth rates, particularly in the late 70s and early 80s, coupled with low unemployment.  

Like most other more developed economies, it now confronts a range of socioeconomic issues (rapidly ageing population, declining fertility rates, widening income inequality, rising costs of living) amidst increasing global competition, technological advancements, and security threats.  At the same time, Singaporeans have become more of a people with a stronger national identity, a greater propensity to participate in the decisions that affect the destiny of the country, and a wider range of views and voices on the future direction of Singapore, the challenges it confronts, and the strategies and means by which to achieve their preferred goal(s) for themselves, their children, and the country.",-,-,PNP - Pass/Fail,"AREA - Communities - Cultures of the Modern World, AREA - General Education - Arts, AREA - Grad Req - SG & Asia Studies (Intake 2024 onwards), AREA - Singapore Studies (Intake 2019 to 2023), RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR2603,,,
COR2611,CIS,Cultural History of the Cold War in Asia,"This course explores the Cold War through an in-depth and interdisciplinary analysis of the cultural materials, transformations, and modalities in Asia. First, we will explore the origins and historical background of the Cold War in Asia and examine key departures and convergences with the broader global narratives. Second, we will examine various aspects of culture - films, music, art, sports, fashion, education, among others and and probe into how the Cold War manifested in or can be analyzed through these cultural references and also to investigate how the cultural transformations, in turn, shape the nature of Cold War. Finally, we will evaluate contemporary Asian culture and identify the lasting legacies of the Cold War that still persist up until today.",-,-,GRD - Graded,"AREA - Arts & Culture Mgmt Electives, AREA - Asia Studies (Intake 2019 to 2023), AREA - Asian Studies (Intake 2018 and earlier), AREA - Business Options, AREA - Business-Oriented Electives, AREA - Communities - Cultures of the Modern World, AREA - Econ Major Rel/Econ Options, AREA - General Education, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: Open from BOSS 2",No,https://ccms.smu.edu.sg/courses?page=1&cq=COR2611,,,
COR2613,CIS,"Screening Asia: History, Society, and Politics in Films","Films are more than just entertainment products. As cultural materials, they provide insights to the historical narratives, politics, economy, and ideological complexities of societies. This course is designed to provide an interdisciplinary and visual approach to understanding Asia using films about Asia produced by Asians themselves as well as those films about Asia produced by non-Asian filmmakers. First, we will briefly explore the history of film in the Asian region and discuss various methods of reading films as texts. Second, we will critically examine what films reveal about the history of Asia - the period of colonialism, decolonization and nation-building, Cold War, and globalization in the Asian region. Next, we will explore contemporary topics and issues in Asia such as traditional and non-traditional security issues such as maritime issues, climate change, and migration, among others. Finally, we will assess the contemporary role and significance of films against the rapid technological disruptions taking place within Asia and beyond.",-,-,GRD - Graded,"AREA - Asia Studies (Intake 2019 to 2023), AREA - Asian Studies (Intake 2018 and earlier), AREA - Business Options, AREA - Business-Oriented Electives, AREA - Communities - Cultures of the Modern World, AREA - General Education, AREA - Global Asia Electives, AREA - Grad Req - SG & Asia Studies (Intake 2024 onwards), ENRL - SS Enrolment: Open from BOSS 2, RQCX - HUMN022",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR2613,,,COR2602
COR2614,CIS,Publics and Privates on The Pacific Rims,"In this course, we will explore spaces that might be marked as 'publics' and 'privates' in an area of the world popularly known as the 'Pacific Rim.' Plotted around the geological formation of the 'ring of fire,' the Pacific Rim is a geography of aspiration. The hope, for those who buy into this formation, is that integrating the markets of the Asia-Pacific in East and Southeast Asia and the west coast of the
Americas would result in world peace wrought by multicultural harmony brokered through trade. In such a market-driven region, we will explore how the terms 'publics' and 'privates' might be used to mark out different kinds of places, with both historical and contemporary case studies. The purpose of this course is to understand the cultures around the terms 'public' and 'private' as an asset to
comprehending how things might be done in this region.",-,-,GRD - Graded,"AREA - Asia Studies (Intake 2019 to 2023), AREA - Communities - Cultures of the Modern World, AREA - General Education, AREA - Grad Req - SG & Asia Studies (Intake 2024 onwards), RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR2614,,,
COR2616,CIS,Singapore and the Question of Cosmopolitanism,"This course employs an inter-disciplinary approach to study the development of conceptions of cosmopolitanism in the Singapore context from the pre-colonial era through the contemporary period. It is concerned with the local, regional and global influences that have shaped the evolving meanings of cosmopolitanism for Singapore and its inhabitants. In particular, the course explores how these evolving meanings of cosmopolitanism emerge from negotiations and contests between Singapore's leaders and peoples. Seminal events such as the founding of modern Singapore by agents of the British Empire, the Japanese occupation of Singapore during World War II, and the nationalist strivings of Singaporeans in the Cold War period, will feature prominently, as will debates over their significance and contribution to Singapore's identity as a cosmopolitan city.",-,-,GRD - Graded,"AREA - Communities - Cultures of the Modern World, RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR2616,,,
COR2617,CIS,Twentieth Century Southeast Asia: A Playground for Empires?,"This course explores major events and developments in Southeast Asia's encounter with empires in the twentieth century. Students will learn to critique the involvement of western and Asian colonial powers in the Southeast Asian region, paying particular attention to the responses of Southeast Asian peoples. More than simply a political and diplomatic history, or a study of international relations, this course focuses on how culture—race, religion and gender—shapes the region's encounter with western and Asian powers. Seminal events that will feature in this course include the rise of communism in Europe and China, the ascension of the Japanese Empire, the outbreak of the Pacific War, the neo-colonial/ recolonization efforts of the European powers, the surge in Southeast Asian nationalism that intertwined with the Cold War, and major developments in the post-Vietnam War era.",-,-,GRD - Graded,"AREA - Asia Studies (Intake 2019 to 2023), AREA - Communities - Cultures of the Modern World, RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR2617,,,
COR2618,CIS,"Food Cultures - Are We What, Where and How We Eat?","This course conceptualizes food and food consumption as a deeply spatial, political, economic and socio-cultural phenomena. Through interdisciplinary perspectives from anthropology, geography, political economy, sociology and cultural studies, we will explore diverse case studies, problems, politics and perspectives about food. Students will interrogate the centrality, complexity, creativity and conflicts surrounding food over societies, time and space. The examination of food, with particular attention to Singapore, will encompass discussions on issues including the ethics of food production/consumption, patterns of diet and dieting, the politics of sustainable food production, and hybrid food cultures. Students will also examine contemporary global responses to the global food shortage and pay special attention to food cultures in Singapore as the metropolitan kitchen in which we are active participants. Through readings, focused questions, discussions and assignments, students are also invited to reflect on their own patterns of food consumption.",-,-,GRD - Graded,"AREA - Communities - Cultures of the Modern World, AREA - Globalisation Cluster, AREA - Grad Req - SG & Asia Studies (Intake 2024 onwards), AREA - Grad Req - Sustainability (Intake 2024 onwards), AREA - Singapore Studies (Intake 2019 to 2023), RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR2618,,,
COR2619,CIS,Fashioning a Nation,"Nations have long sought to evoke loyalty and personal attachment, while in turn providing those living within it with a collective experience and common destiny. The potent force of the nation as a cognitive idea is at the heart of this course, which conceives of the making of a nation as an ongoing work in progress in which everyone has a stake. The central question that we will investigate concerns the reciprocal influences between the nation, its institutional manifestations and 'the people'. How do 'the people' shape institutions and fashion a nation on a daily basis and vice versa?
To explore these relationships, the course is structured around three themes: prerequisites, process and practice. The first theme provides the general conceptual framework through a series of brief discussions of what a nation is, how it relates to a state and to a 'people'. The second theme is devoted to what is often seen as the quintessential nation-building moment: the formal drafting of a constitution. We will consider the choice of language in that text to harness the people's fidelity to the budding nation as well as the respective roles played by the elites and ordinary citizens during the constitution-process. For the third theme, we will probe the lived reality of how the nation constitutes itself every day through its people, from the elites who claim to speak on behalf of the nation in formal rule-making to the personification of the nation in image, song and icon to the architectural design of state institutions and public spaces and the wearing of folk costumes or traditional outfits that seek to give expression to the identity of the nation.
Our explorations will feature the experiences of a diverse range of nations located within and outside Asia. These will provide the backdrop against which the Singapore story will be considered, thereby allowing students to interrogate the familiar domestic narrative of nation-building from a comparative angle. The approach taken will be practically grounded and interdisciplinary, drawing on insights from law, political theory, history, linguistics, architecture and the arts. To do so effectively, the course will be team-taught by two instructors with complementary disciplinary backgrounds.",-,-,GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives, AREA - Communities - Cultures of the Modern World, AREA - Econ Major Rel/Econ Options, AREA - Political Science Electives, AREA - Social Sciences/PLE Major-related, RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR2619,,,
COR2620,CIS,Redefining the Third Age in Singapore,"This course aims to equip young leaders with an understanding of the impact of an ageing population on society, and in particular the emerging cohort of Singaporeans in their Third Age. The notion of the third age was introduced by gerontologists as it became clear that the discourse on ageing covers a heterogeneous group of individuals who may be of the same age chronologically, but who in terms of personal characteristics and life experience are quite different. This third age of human existence is characterised by retirement from full-time work and a new way of spending time (Carr & Komp, 2011). Through class discussions and group projects, students will dive deeper into disciplines like gerontology, social sciences (intergenerational; social connectedness), public policy (successful ageing), economics (retirement) and technological developments in the ageing space. Students will explore case studies and challenges of a rapidly ageing society in Singapore and around the world such as Japan, China, USA, Australia, Netherlands etc.",-,-,GRD - Graded,"AREA - Communities - Cultures of the Modern World, AREA - Singapore Studies (Intake 2019 to 2023), ENRL - SS Enrolment: 4 ISEP; 1 SUSEP",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR2620,,,
COR2622,CIS,Asia and World Literature: Beyond Orientalism,"This course surveys the complex cultural and political relationships that exist between Asia and World Literature, exploring how canonical works of prose, poetry and drama have been used (and continue to be used) to advance divergent imperialist, nationalist and intercultural goals. We begin by tracing the formation of 'Orientalist' stereotypes about Asia in World Literature, illuminating the role these texts played in the Western colonial project. Next, we interrogate how Asian nationalists and creative practitioners sought to move beyond these Orientalist tropes by adapting Shakespeare's plays to create bold, new intercultural performances. We then dive into a range of canonical Asian texts and their contemporary adaptations. We ask what these texts can tell us about the connected political, cultural and technological histories of Asia and Europe; probe how these texts play shape our perceptions of racial, religious, national and gender differences; and ponder the place Singapore writers have in world literature today.",-,-,GRD - Graded,"AREA - Asia Studies (Intake 2019 to 2023), AREA - Communities - Cultures of the Modern World, AREA - Global Asia Electives, AREA - Grad Req - SG & Asia Studies (Intake 2024 onwards), RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR2622,,,
COR2623,CIS,Tocqueville's Democracy in America and Beyond,"Hailed as ""the greatest book on democracy ever written,"" Tocqueville's Democracy in America offers a window into much more than the United States visited by Alexis de Tocqueville in the 1830s. Indeed, Tocqueville believed he ""saw in America"" an image of the future everywhere, for he believed that equality of conditions from which democratic society grew was the world's inevitable future.  Having reached its most developed form in the United States, equality of conditions modified and transformed all aspects of life, from politics to social relations, to personal relations, to intellectual life, to individual character and values. Given this radical transformation of the world, Tocqueville believed that ""A new political science is needed for a world entirely new,"" and Democracy in America articulates this new political science.  Tocqueville's masterpiece, then, looks beyond its US context, for Tocqueville hoped to teach his readers what they could hope and fear from democracy, as well as how democratic society might be ""educated"" to avoid some of the dangers to which it is prone.  

This course takes its inspiration from Tocqueville's ambition, by approaching Democracy in America thematically and using Tocqueville's study as a basis for broader inquiry into features of contemporary democratic society. Each week of the course will focus on a key theme in Democracy in America, and each week will pair that theme with current scholarship applying and extending elements of the Tocquevillian perspective to contemporary contexts. By the end of the course, students will have gained familiarity with key elements of the Tocquevillian analysis of democratic society as well as critical perspectives on how these themes have continued to play out in current scholarship and debates.",-,-,GRD - Graded,"AREA - Business Options, AREA - Business-Oriented Electives, AREA - Communities - Cultures of the Modern World, AREA - Econ Major Rel/Econ Options, AREA - General Education, AREA - Political Science Electives, AREA - Singapore Studies (Intake 2019 to 2023), AREA - Social Sciences/PLE Major-related, RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR2623,,,
COR2626,CIS,"Imagining the Self: Literature, Ethnicity and Gender in Asia","This course explores what literature can tell us about the changing nature of gender and ethnic identities across modern Asian cultures. We interrogate what 'selfhood' means to a range of established and emerging Asian writers, asking how and why they construct gender and ethnic identities in their works, and what insights this provides into the Asian psyche. We begin by interrogating gender in Singapore, asking how dramatists and novelists envision life as a 'woman' or a 'man' here. We then circle outwards across Indonesia, India and Iran, tracing how letters, novels, films and graphic novels have been used to create and challenge gender norms from the colonial 19th century to the postcolonial 21st. Next, we look at ethnicity, debating its relative mutability, and querying the importance of physical markers of 'racial' difference relative to evolving national borders and spiritual and societal practices. We trace how Singaporean and Malaysian writers construct ethnicity in their prose fiction, before considering how authors further afield in East Asia (Japan and China) and West Asia (Turkey and Afghanistan) have re-interpreted communal identities over time. We conclude by considering the future of ethnic and gender identities in Asia. By the end of this literary odyssey, students will have gained a wide-ranging appreciation of how modern Asian writers envision gender and ethnicity, and contemplated the relevance of these fictive visions to their own sense of selfhood as young adults living in Asia.",-,-,GRD - Graded,"AREA - Asia Studies (Intake 2019 to 2023), AREA - Communities - Cultures of the Modern World, AREA - Global Asia Electives, AREA - Grad Req - SG & Asia Studies (Intake 2024 onwards), ENRL - SS Enrolment: 4 ISEP; 1 SUSEP",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR2626,,,
COR2627,SOSS,European Cultural History: From Antiquity to Brexit,"Cultural history brings to life past epochs and places. In this pursuit, it analyses beliefs and ideas, products of artistic nature, as well as the objects and experiences of everyday life, such as clothing or cuisine. Culture also encompasses attitudes, values, assumptions and prejudices, and the rituals and practices that express them. In this regard, our current thoughts and acts have an ancestry which cultural history can illuminate and critically examine. 

This course explores fundamental moments in the history of Europe: from the foundations in Greece and Rome, through the alliances, conflicts and revolutions that transformed it, and key periods such as the Enlightenment and Modernism, that significantly shaped it. They all help understand the complexities of today's Europe, from the challenges in cultural integration to Brexit. Through lectures, key readings, analyses of case studies and research projects, this course broadens understanding of Europe. By establishing linkages between history, socio-political and economic contexts, religion, and art forms, it reveals crucial intersections to comprehend the landmarks of the cultural history of Europe.",-,-,GRD - Graded,"AREA - Communities - Cultures of the Modern World, AREA - General Education, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP",No,https://ccms.smu.edu.sg/courses?page=1&cq=COR2627,,,
COR2631,CIS,Scratches on their Minds: Images of Asia in Hollywood,"Film is one of the most important cultural materials through which we learn about people, places, and ideas past and present. Film mirrors and co-produces our understanding of the world and our place in it. Through film, we encounter societies and cultures beyond our own; and the world sees images of who we are through
filmic representations of ourselves. In this course, we explore the ways in which film has served as a space for the production, contestation, and meditation of representations and images of Asia in the United States through the lens of Hollywood films.
This course is designed to provide an interdisciplinary and visual approach to understanding Asia's representations and images on/in Hollywood films. First, we will briefly explore America's perceptions and ideas about Asia in the late 19th century and discuss various methods of reading films as texts. Second, we will
critically examine what Hollywood films reveal about America's perceptions and ideas about Asia within the context of Asia's entangled history with the United States from the late 19th century to 1990s - from the period of American imperial expansion, America's orientalism, US occupation of Japan, the Cold War, and
America's involvement in Vietnam. Next, we will explore the recent trajectories in Hollywood that shaped/reconfigured Asia's filmic representation - the commodification of Asia in Hollywood, the impact of 9/11 on Hollywood's image of Asia, and the shifting aspects of Asian identities (gender and race) in
contemporary Hollywood films. Finally, we will examine the rising influence of Asia (its film industries, states, and societies) in global/Hollywood filmmaking and discuss how these disruptions and changes will impact Asia, the United States, and the rest of the world.",-,-,GRD - Graded,"AREA - Asia Studies (Intake 2019 to 2023), AREA - Communities - Cultures of the Modern World, AREA - Grad Req - SG & Asia Studies (Intake 2024 onwards), RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR2631,,,
COR2639,CIS,Sovereignties and Secularities: Political Theology in Postcolonial and Planetary Contexts,"Political theology is the academic study of how political and religious ideas and practices relate. Our task in this course will be to examine political theologies with a critical lens. We will focus on how contemporary political narratives continue to tell stories about the divine, the spiritual, and the mythological even while claiming to be secular. In so doing, we will work through how contemporary academics, activists, and artists have narrated the postcolonial and planetary cultures of the modern world through political theologies. The two concepts we will pay most attention to are sovereignty and secularisation. Our purpose of study is to be able to better narrate the multireligious and multicultural world in which we live, regardless of our own personal experience with religion.",-,-,GRD - Graded,"AREA - Communities - Cultures of the Modern World, ENRL - SS Enrolment: 4 ISEP; 1 SUSEP",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR2639,,,
COR2645,CIS,Cultural Economics,"This course explores the dynamic intersection of economics, culture, creativity, and innovation using the theories and methods of economics to understand traditional arts (performing arts, visual art, and literature), heritage (museums and other forms of built heritage), and creative industries (music, film, games, broadcasting, and publishing). Students will analyse how cultural goods and services are produced, distributed, and consumed, with attention to issues such as the valuation of creativity, intellectual property rights, the impact of digitisation on creative markets, and the links between technology, cultural dynamics, and cultural policy. 
By investigating economic frameworks, cultural policy, and real-world case studies, the course offers a comprehensive view of how the creative industries are not just affected by technology, globalisation, and economic change but also, in turn, bolster the economy and create the cultural capital needed for a society's self-image and quality of life. Aside from business and arts and culture management students, the course is ideal for students from a wide range of disciplines who are curious about the economic dimensions of cultural production and its broader social implications. Whether you aspire to work in the creative industries, engage in policymaking, or simply understand the economic forces shaping cultural trends, this course will provide valuable insights. Prior knowledge of economics is not required, but an interest in cultural phenomena and their market dynamics is encouraged.
As an interdisciplinary offering, cultural economics delves into the interactions between economic forces, cultural dynamics, psychological drivers, and social networks. Creative industries are not just about producing goods or services for profit; they are also about creating new cultural meanings, social connections, and
emotional experiences. This complexity demands an approach that draws relies not just on the economics lens but also draws on insights from various disciplines—arts management, sociology, psychology, cultural policy, and innovation studies—making cultural economics a truly interdisciplinary field.",-,-,GRD - Graded,"AREA - Communities - Cultures of the Modern World, AREA - Politics, Law & Economics Electives, ENRL - SS Enrolment: 4 ISEP; 1 SUSEP, TRCK - PLE: Distribution and Justice Track",No,https://ccms.smu.edu.sg/courses?page=1&cq=COR2645,,,
COR2646,CIS,"Cities of Paradox: Exploring Hong Kong/Singapore, Histories and Cultures","This course introduces the history and culture of one of Asia's greatest and liveliest cities: Hong Kong. Through photographs, film, texts, and even menus, we will explore the city-state's society, economy, environment, politics, and more: from ancient villages to new gods; green mountains to tong lau streets; wild boars to villain-hitters; money-making to anticolonial subterfuge. And we shall do so contrasting and comparing Hong Kong with the sometimes similar and often radically distinct history and culture of Singapore. 

Hong Kong's history and present are paradoxical: densely urban and extensively green; fast-growing and traditionalist; materialist and religious; contested violently between different forms of imperialism, nationalism, and localism. Each week we will therefore focus on different approaches, debates, and perspectives to capture this dynamism. In doing so, the course will equip you to understand Hong Kong and to appreciate broader themes in ""Cultures of the Modern World"" through Hong Kong as a case-study while casting Singapore into new light too.",-,-,GRD - Graded,"AREA - Communities - Cultures of the Modern World, AREA - Grad Req - SG & Asia Studies (Intake 2024 onwards), ENRL - SS Enrolment: 4 ISEP; 1 SUSEP",No,https://ccms.smu.edu.sg/courses?page=1&cq=COR2646,,,
COR2647,CIS,Social Norms in Cultural Context: An Interdisciplinary Inquiry,"Social norms choreograph the dance that is social life. But, what are social norms? What do they do for us? When are they followed and when flouted? How do they change (or, not) over time? While different disciplines have attempted to provide answers to these questions, this course challenges students to integrate these disparate hypotheses, using adisciplinary theoretical frameworks such as Game Theory, Network Theory and Evolutionary Theory, to produce a comprehensive understanding of social norms.

In this course students learn to distinguish between social norms, fads, conventions, moral norms and laws. In addition, the course attunes students to the cultural variation in normative content found across the range of human experience and challenges them to explore the conditions under which, cultural variety develops (or fails to). Finally, the course discusses the plethora of reasons why individuals follow norms and its implication for the stability of social norms.

Taken together, this course enables students to apply a normative perspective towards understanding social phenomena and institutions. More importantly, it equips students with evidence and theory-based capacity to design interventions to implement social change by changing the norms that underpin social behaviour. In a world where polarisation and social friction can be reduced to conflict over what a society's norms should look like, and whose medium to long term future depends on our making sustainable choices, this knowledge is key to building a more tolerant and sustainable future.",-,-,GRD - Graded,"AREA - Communities - Cultures of the Modern World, ENRL - SS Enrolment: 4 ISEP; 1 SUSEP",No,https://ccms.smu.edu.sg/courses?page=1&cq=COR2647,,,
COR3001,CIS,Big Questions,"Big Questions will take a theme every year, or a major global challenge broadly defined as a thesis and its (seeming) antithesis. Big Questions will introduce students to the challenging ethical, theoretical, and operational debates that attend to these themes. Students in any given year will be able to choose from a menu of sub-themes, each using a different disciplinary lens and focusing on different aspects of the theme, while also sharing a canon of readings and attending public lectures dedicated to the year's theme for a shared intellectual experience. The themes may include Happiness and Suffering, Global and Local, Robots and Humans, Wealth and Poverty, War and Peace, amongst others.",-,-,GRD - Graded,"AREA - Civilisations, AREA - General Education, AREA - Singapore Studies (Intake 2019 to 2023), ENRL - SS Enrolment: Open from BOSS 2",No,https://ccms.smu.edu.sg/courses?page=1&cq=COR3001,,,
COR3301,YPHSL,Ethics and Social Responsibility,"The objective of the Course is to raise the awareness of students with regard to the multi-faceted ethical and social responsibility issues faced by businesses and corporate executives, whether individuals or organisations. The initial part of the Course will focus on critiquing various ethical and social theories developed by philosophers, economists, sociologists, management theorists and others. Both Western and non-Western theories will be examined. The Course also aims at developing the moral reasoning skills of students and applying them to the specific problems and dilemmas faced by individuals and organisations in the business and corporate world.","Professional and Business Ethics, Corporate and Business Law, Corporate and Business Law Application, Regulatory Compliance, Corporate Governance","Multidisciplinary knowledge, Critical thinking & problem solving, Intercultural understanding and sensitivity, Ethics and social responsibility, Understanding of sustainability issues, Communication",GRD - Graded,"AREA - Civilisations, AREA - University Core, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCX - ACCT321, RQCX - LAW001, RQCX - OBHR002",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR3301,,,COR3302
COR3302,SOA,Ethics and Social Responsibility for Accounting,"This course discusses issues of ethics and social responsibility in the context of business in general as well as the accounting profession in particular. The different theories of ethics will be explored, together with their relevance in various personal, organisational, professional and societal settings. The challenges of recognizing situations involving ethical issues and dilemmas when they arise; understanding why individuals, organisations, professionals and governments respond to them the way they do; and identifying ways to manage or resolve them, will be examined. Real-life cases and problems will be studied.","Governance, Professional and Business Ethics","Critical thinking & problem solving, Ethics and social responsibility, Understanding of sustainability issues",GRD - Graded,"AREA - Civilisations, AREA - University Core, RQCX - LAW001, RQCX - LGST001, RQCX - OBHR002, RQPR - Applicable for BAcc only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR3302,,,
COR3304,LKCSB,Ethics and Corporate Responsibility,"In this day and age, it is no longer sufficient for managers and leaders in organizations to be simply transactional or simply transformational. They also need to be fair, just, ethical, moral and responsible. This course is designed to explore, inform, and stimulate thinking on issues related to behavioural ethics, responsibility and sustainability as encountered in the corporate world. To create this intellectual exchange, this course will focus on how individual and organizational behaviour is shaped by context as well as by biases, why these factors make it difficult for managers to be responsible leaders, and what can be done about the influence of these factors. 

It is important to emphasize that the goal of this course is not the ethical or moral transformation of students but to develop a set of tools and frameworks (where possible) that allow us to manage effectively in a world increasingly characterized by stakeholders with competing needs and responsibilities.","Business Ethics and Values Management, Conflict Management, Diversity and Inclusion Management, Labour Relations Management, Management Decision Making","Multidisciplinary knowledge, Interdisciplinary knowledge, Critical thinking & problem solving, Collaboration and leadership, Communication, Ethics and social responsibility, Understanding of Sustainability Issues, Self-directed learning, Resilience",GRD - Graded,"AREA - Civilisations, AREA - University Core, ENRL - SS Enrolment: Open from BOSS 2, RQCX - ACCT321, RQCX - LAW001, RQCX - LGST001, RQPR - Applicable for BBM only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=COR3304,,,COR3302
